iter	Passed	Remaining
0	6	644
1	11	553
2	15	504
3	21	523
4	25	486
5	31	496
6	39	529
7	44	506
8	50	506
9	55	503
10	59	484
11	62	457
12	65	440
13	68	421
14	70	401
15	72	381
16	74	363
17	76	347
18	78	333
19	81	325
20	83	312
21	84	300
22	86	288
23	87	276
24	88	266
25	90	256
26	91	248
27	95	244
28	96	237
29	99	231
30	101	225
31	102	218
32	104	212
33	106	206
34	107	200
35	109	195
36	111	189
37	112	184
38	114	179
39	115	173
40	117	168
41	117	162
42	119	158
43	121	154
44	122	149
45	125	146
46	126	142
47	127	138
48	129	134
49	130	130
50	132	127
51	133	123
52	135	120
53	138	117
54	139	113
55	140	110
56	142	107
57	144	104
58	145	101
59	147	98
60	149	95
61	151	92
62	154	90
63	155	87
64	157	84
65	158	81
66	160	78
67	161	76
68	163	73
69	165	70
70	167	68
71	169	65
72	170	63
73	172	60
74	174	58
75	175	55
76	176	52
77	178	50
78	179	47
79	181	45
80	183	42
81	184	40
82	186	38
83	188	35
84	189	33
85	190	31
86	192	28
87	193	26
88	194	24
89	195	21
90	197	19
91	198	17
92	200	15
93	202	12
94	203	10
95	204	8
96	206	6
97	207	4
98	208	2
99	210	0
